id,url,did_i_read_it,priority
397c0ffb-0b87-4ca1-b973-ea2eeb3f65ed,https://www.notion.so/Backend-Software-Architecture-Checklist-How-to-Build-a-Product-from-Scratch-397c0ffb0b874ca1b973ea2eeb3f65ed,true,50
2af258d0-128a-4f63-97d6-943d574ffc06,https://www.notion.so/Challenging-algorithms-and-data-structures-every-programmer-should-try-Austin-Z-Henley-2af258d0128a4f6397d6943d574ffc06,false,100
f595deec-01a8-431d-b5c5-b0e3710221ff,https://www.notion.so/Effective-Queries-with-Rails-and-PostgreSQL-Honeybadger-Developer-Blog-f595deec01a8431db5c5b0e3710221ff,true,50
32c362b1-9579-4f4a-9fc6-6689f0c86dfd,https://www.notion.so/How-to-Use-Regular-Expressions-in-JavaScript-Tutorial-for-Beginners-32c362b195794f4a9fc66689f0c86dfd,false,100
d623f2f2-cfc6-4641-96ff-c57690c2508d,https://www.notion.so/Turning-pages-with-CSS-d623f2f2cfc6464196ffc57690c2508d,false,100
d6653708-d739-4beb-8558-d880532f4823,https://www.notion.so/The-Universe-of-Discourse-Things-I-wish-everyone-knew-about-Git-Part-I-d6653708d7394beb8558d880532f4823,false,100
e72b26cd-2dcf-4105-9ca1-fb54e2db8fd1,https://www.notion.so/Redis-Explained-e72b26cd2dcf41059ca1fb54e2db8fd1,false,100
22478ef1-2a63-4247-a22b-db227815c36a,https://www.notion.so/Gang-of-Four-Design-Patterns-22478ef12a634247a22bdb227815c36a,false,100
07934a74-1ee9-4e27-9242-4a67c84d4508,https://www.notion.so/Ruby-on-Rails-Popular-Job-Interview-Questions-Nopio-07934a741ee94e2792424a67c84d4508,true,50
3122ba56-ecf6-40a5-b92c-191f1afa8f21,https://www.notion.so/40-Key-Computer-Science-Concepts-Explained-In-Layman-s-Terms-3122ba56ecf640a5b92c191f1afa8f21,false,100
22c4d90d-7b98-4933-9371-3041aa5b4185,https://www.notion.so/Building-Awesome-Rails-APIs-Part-1-Collective-Idea-22c4d90d7b98493393713041aa5b4185,true,50
49ba107d-ccee-4c90-8259-55c031025d3c,https://www.notion.so/Full-text-Search-with-Elasticsearch-in-Rails-Honeybadger-Developer-Blog-49ba107dccee4c90825955c031025d3c,false,100
68a5d804-d002-4eab-8ae6-ffc343683e2c,https://www.notion.so/Ruby-on-Rails-and-Tailwind-CSS-Tutorial-BootrAils-68a5d804d0024eab8ae6ffc343683e2c,false,100
8eaa4961-fbf4-4fd7-b3fc-4ae063b1d51e,https://www.notion.so/Write-cleaner-self-documented-tests-by-defining-methods-in-RSpec-8eaa4961fbf44fd7b3fc4ae063b1d51e,true,50
7f97f737-feda-4cfd-80c6-fe92f9d205c9,https://www.notion.so/Complex-Selectors-Learn-to-Code-Advanced-HTML-CSS-7f97f737feda4cfd80c6fe92f9d205c9,false,100
48069ff8-6c0c-40ed-9a34-c93d2ad5dc2e,https://www.notion.so/UX-Data-Table-Design-Patterns-Best-Practices-48069ff86c0c40ed9a34c93d2ad5dc2e,true,50
2079d6d1-1c78-4834-9fde-42ead587a855,https://www.notion.so/Regular-Expressions-Clearly-Explained-with-Examples-by-Jason-Chong-Towards-Data-Science-2079d6d11c7848349fde42ead587a855,false,100
1f05beb0-f932-4ed4-a7b5-81e97d855b78,https://www.notion.so/How-to-Report-Errors-in-Forms-10-Design-Guidelines-1f05beb0f9324ed4a7b581e97d855b78,true,50
c8e42732-b8ca-4696-8751-be4f8aa401a8,https://www.notion.so/html5pattern-com-c8e42732b8ca46968751be4f8aa401a8,true,50
296c1d88-2108-4fc1-bbbe-0dcfa0caa366,https://www.notion.so/Form-Validation-UX-in-HTML-and-CSS-CSS-Tricks-CSS-Tricks-296c1d8821084fc1bbbe0dcfa0caa366,true,50
c2a1c6d3-bb47-47e8-ac0e-3b9bafda9d22,https://www.notion.so/Cheat-Sheet-c2a1c6d3bb4747e8ac0e3b9bafda9d22,false,100
ab378af6-e07a-4c28-9b60-1efb68aa03c8,https://www.notion.so/wsu-css-cheat-sheet-gdocs-pdf-ab378af6e07a4c289b601efb68aa03c8,false,100
bd94e323-3095-47ee-8f73-70085e5f1b5a,https://www.notion.so/HTML-elements-reference-HTML-HyperText-Markup-Language-MDN-bd94e323309547ee8f7370085e5f1b5a,false,100
55c91330-9de6-4af2-bf33-38440ecb64ce,https://www.notion.so/Ruby-Algorithms-Sorting-Trie-Heaps-igvita-com-55c913309de64af2bf3338440ecb64ce,false,100
d502b92e-4aac-44a6-a8bf-a0216d64f04d,https://www.notion.so/Create-Drop-down-Lists-in-Excel-In-Easy-Steps-d502b92e4aac44a6a8bfa0216d64f04d,true,50
39c62cf1-4a6b-4401-bf5b-7cfe888202af,https://www.notion.so/Ruby-Blocks-Procs-Lambdas-The-Ultimate-Guide-39c62cf14a6b4401bf5b7cfe888202af,true,50
05d343b6-aa95-4d1b-baaf-905a1e61170f,https://www.notion.so/Using-Lambdas-in-Ruby-Honeybadger-Developer-Blog-05d343b6aa954d1bbaaf905a1e61170f,true,50
9f0ccf95-4559-41d7-987c-9bb8fb8fb19c,https://www.notion.so/How-to-Use-CSS-Grid-Layout-Grid-Properties-Explained-with-Examples-9f0ccf95455941d7987c9bb8fb8fb19c,false,100
c34074a3-4325-4c1e-8698-8e2f62d524dd,https://www.notion.so/Revisiting-Rock-Paper-Scissors-The-Odin-Project-c34074a343254c1e86988e2f62d524dd,true,50
27ec7267-214e-4195-8f89-88ad5acde65d,https://www.notion.so/27ec7267214e41958f8988ad5acde65d,false,100
a4c5ceb7-a2f2-4c32-91c6-6d0c905def30,https://www.notion.so/File-input-output-The-Bastards-Book-of-Ruby-a4c5ceb7a2f24c3291c66d0c905def30,true,50
4c52e022-e973-48bf-8a2c-22e7ce0efdb3,https://www.notion.so/Choosing-the-Right-Serialization-Format-SitePoint-4c52e022e97348bf8a2c22e7ce0efdb3,true,50
423620fa-97cb-46c1-8c98-39ad5427fdcc,https://www.notion.so/IO-in-Ruby-423620fa97cb46c18c9839ad5427fdcc,true,50
971499dd-504a-4b20-83ab-047e238f2769,https://www.notion.so/Tic-tac-toe-Rosetta-Code-971499dd504a4b2083ab047e238f2769,true,50
15bc549c-6939-47c7-b5b2-5f17ee32b0b5,https://www.notion.so/Object-Relationships-in-Basic-Ruby-by-Marcella-Maki-Medium-15bc549c693947c7b5b25f17ee32b0b5,true,50
